# Dataset "Data 0" exported from GenX on Tue Apr  2 13:46:10 2024
# Column lables:
# x	I_simulated	I	error(I)
1.580000000000000071e+00 3.263375921112882224e+03 3.687000000000000000e+03 nan
1.590000000000000080e+00 3.273972646201412317e+03 3.223000000000000000e+03 nan
1.600000000000000089e+00 3.056579981803955434e+03 3.007000000000000000e+03 nan
1.610000000000000098e+00 2.654978364355852591e+03 2.937000000000000000e+03 nan
1.620000000000000107e+00 2.144309662336950169e+03 2.124000000000000000e+03 nan
1.629999999999999893e+00 1.620576581575536466e+03 1.501000000000000000e+03 nan
1.639999999999999902e+00 1.181891106108877921e+03 1.385000000000000000e+03 nan
1.649999999999999911e+00 9.030696692360788802e+02 8.840000000000000000e+02 nan
1.659999999999999920e+00 8.156047547287938642e+02 6.710000000000000000e+02 nan
1.669999999999999929e+00 9.041548157994009216e+02 1.092000000000000000e+03 nan
1.679999999999999938e+00 1.118867787751402147e+03 1.161000000000000000e+03 nan
1.689999999999999947e+00 1.392807829031923802e+03 1.296000000000000000e+03 nan
1.699999999999999956e+00 1.655327506018284112e+03 1.777000000000000000e+03 nan
1.709999999999999964e+00 1.841523107068198215e+03 2.022000000000000000e+03 nan
1.719999999999999973e+00 1.902985028543392900e+03 1.875000000000000000e+03 nan
1.729999999999999982e+00 1.820381860865193175e+03 1.717000000000000000e+03 nan
1.739999999999999991e+00 1.610768009186179370e+03 1.850000000000000000e+03 nan
1.750000000000000000e+00 1.322176379724030085e+03 1.367000000000000000e+03 nan
1.760000000000000009e+00 1.016570849528789267e+03 8.850000000000000000e+02 nan
1.770000000000000018e+00 7.507773927904868287e+02 8.470000000000000000e+02 nan
1.780000000000000027e+00 5.647958978542377508e+02 5.430000000000000000e+02 nan
1.790000000000000036e+00 4.789413843172099519e+02 3.920000000000000000e+02 nan
1.800000000000000044e+00 4.946096571886187689e+02 5.350000000000000000e+02 nan
1.810000000000000053e+00 5.945618554591962948e+02 5.680000000000000000e+02 nan
1.820000000000000062e+00 7.444735844200972679e+02 6.640000000000000000e+02 nan
1.830000000000000071e+00 8.999857039812702624e+02 8.170000000000000000e+02 nan
1.840000000000000080e+00 1.019225082227900884e+03 1.148000000000000000e+03 nan
1.850000000000000089e+00 1.074735121335179429e+03 1.019000000000000000e+03 nan
1.860000000000000098e+00 1.058151388121354785e+03 9.840000000000000000e+02 nan
1.870000000000000107e+00 9.767496109985917201e+02 1.124000000000000000e+03 nan
1.879999999999999893e+00 8.470237776492491548e+02 8.990000000000000000e+02 nan
1.889999999999999902e+00 6.906126854147514678e+02 5.750000000000000000e+02 nan
1.899999999999999911e+00 5.328543901992658220e+02 6.280000000000000000e+02 nan
1.909999999999999920e+00 4.002299373798815054e+02 4.420000000000000000e+02 nan
1.919999999999999929e+00 3.144303538711739066e+02 3.120000000000000000e+02 nan
1.929999999999999938e+00 2.856132184080100274e+02 2.330000000000000000e+02 nan
1.939999999999999947e+00 3.097297948573497024e+02 3.180000000000000000e+02 nan
1.949999999999999956e+00 3.718488512679102200e+02 3.060000000000000000e+02 nan
1.959999999999999964e+00 4.524799803261473130e+02 3.410000000000000000e+02 nan
1.969999999999999973e+00 5.323259887946329627e+02 5.600000000000000000e+02 nan
1.979999999999999982e+00 5.939692818333052173e+02 5.940000000000000000e+02 nan
1.989999999999999991e+00 6.228293642112928410e+02 5.750000000000000000e+02 nan
2.000000000000000000e+00 6.099362294414692087e+02 7.480000000000000000e+02 nan
2.009999999999999787e+00 5.557208720193229965e+02 6.190000000000000000e+02 nan
2.020000000000000018e+00 4.713028321747298719e+02 4.570000000000000000e+02 nan
2.029999999999999805e+00 3.749995816763723155e+02 3.750000000000000000e+02 nan
2.040000000000000036e+00 2.857646506148652747e+02 3.070000000000000000e+02 nan
2.049999999999999822e+00 2.177194410871330490e+02 1.750000000000000000e+02 nan
2.060000000000000053e+00 1.784103417326581393e+02 1.380000000000000000e+02 nan
2.069999999999999840e+00 1.698102851333388230e+02 2.090000000000000000e+02 nan
2.080000000000000071e+00 1.893154659147151335e+02 1.870000000000000000e+02 nan
2.089999999999999858e+00 2.295934447572882959e+02 1.740000000000000000e+02 nan
2.100000000000000089e+00 2.787913022268399459e+02 2.810000000000000000e+02 nan
2.109999999999999876e+00 3.230250618346311740e+02 3.070000000000000000e+02 nan
2.120000000000000107e+00 3.507600519569613766e+02 3.140000000000000000e+02 nan
2.129999999999999893e+00 3.563690976941419990e+02 3.660000000000000000e+02 nan
2.140000000000000124e+00 3.405259924180306257e+02 3.850000000000000000e+02 nan
2.149999999999999911e+00 3.078116410031830128e+02 2.910000000000000000e+02 nan
2.160000000000000142e+00 2.640739133893816302e+02 2.450000000000000000e+02 nan
2.169999999999999929e+00 2.155144197038837035e+02 2.580000000000000000e+02 nan
2.180000000000000160e+00 1.690530400125466599e+02 1.530000000000000000e+02 nan
2.189999999999999947e+00 1.320312107969655813e+02 1.060000000000000000e+02 nan
2.200000000000000178e+00 1.103015685171419165e+02 1.490000000000000000e+02 nan
2.209999999999999964e+00 1.059178261884878651e+02 8.900000000000000000e+01 nan
2.220000000000000195e+00 1.164586064393839422e+02 9.300000000000000000e+01 nan
2.229999999999999982e+00 1.365949593949627854e+02 1.280000000000000000e+02 nan
2.240000000000000213e+00 1.604690100176712235e+02 1.770000000000000000e+02 nan
2.250000000000000000e+00 1.830093793940256717e+02 1.600000000000000000e+02 nan
2.259999999999999787e+00 1.998122934405124624e+02 1.900000000000000000e+02 nan
2.270000000000000018e+00 2.068693714111354041e+02 2.700000000000000000e+02 nan
2.279999999999999805e+00 2.013866903770477848e+02 1.980000000000000000e+02 nan
2.290000000000000036e+00 1.833624105213440032e+02 1.670000000000000000e+02 nan
2.299999999999999822e+00 1.563371422497916683e+02 2.120000000000000000e+02 nan
2.310000000000000053e+00 1.262440918981513818e+02 1.310000000000000000e+02 nan
2.319999999999999840e+00 9.901302744080784635e+01 7.800000000000000000e+01 nan
2.330000000000000071e+00 7.866447657269334570e+01 8.200000000000000000e+01 nan
2.339999999999999858e+00 6.697750418823747509e+01 8.200000000000000000e+01 nan
2.350000000000000089e+00 6.423334781780202718e+01 6.800000000000000000e+01 nan
2.359999999999999876e+00 6.974721095495623047e+01 8.500000000000000000e+01 nan
2.370000000000000107e+00 8.162448995523430995e+01 8.800000000000000000e+01 nan
2.379999999999999893e+00 9.643766743038085565e+01 9.600000000000000000e+01 nan
2.390000000000000124e+00 1.098267594255803061e+02 1.020000000000000000e+02 nan
2.399999999999999911e+00 1.180511868898232422e+02 1.590000000000000000e+02 nan
2.410000000000000142e+00 1.193978682904506314e+02 1.100000000000000000e+02 nan
2.419999999999999929e+00 1.143538164212928052e+02 8.400000000000000000e+01 nan
2.430000000000000160e+00 1.045852660463160788e+02 1.390000000000000000e+02 nan
2.439999999999999947e+00 9.180542436961843578e+01 1.190000000000000000e+02 nan
2.450000000000000178e+00 7.748588347684466271e+01 6.800000000000000000e+01 nan
2.459999999999999964e+00 6.329735438301137407e+01 9.400000000000000000e+01 nan
2.470000000000000195e+00 5.136283712226582310e+01 7.000000000000000000e+01 nan
2.479999999999999982e+00 4.370775682531840545e+01 2.500000000000000000e+01 nan
2.490000000000000213e+00 4.128605652199867393e+01 5.100000000000000000e+01 nan
2.500000000000000000e+00 4.351204462130739614e+01 3.700000000000000000e+01 nan
2.509999999999999787e+00 4.874717009922535738e+01 3.300000000000000000e+01 nan
2.520000000000000018e+00 5.524501065641197073e+01 5.100000000000000000e+01 nan
2.529999999999999805e+00 6.168684290109401758e+01 5.700000000000000000e+01 nan
2.540000000000000036e+00 6.700379484246093398e+01 5.700000000000000000e+01 nan
2.549999999999999822e+00 7.000663657703287868e+01 5.600000000000000000e+01 nan
2.560000000000000053e+00 6.951264613260110536e+01 1.120000000000000000e+02 nan
2.569999999999999840e+00 6.501923092118289560e+01 7.300000000000000000e+01 nan
2.580000000000000071e+00 5.726832195196928410e+01 3.700000000000000000e+01 nan
2.589999999999999858e+00 4.806107454306263094e+01 6.400000000000000000e+01 nan
2.600000000000000089e+00 3.939482441649381883e+01 3.400000000000000000e+01 nan
2.609999999999999876e+00 3.262952967286660311e+01 3.500000000000000000e+01 nan
2.620000000000000107e+00 2.829103985384695363e+01 3.600000000000000000e+01 nan
2.629999999999999893e+00 2.643731778940342281e+01 1.900000000000000000e+01 nan
2.640000000000000124e+00 2.700491090678788453e+01 2.700000000000000000e+01 nan
2.649999999999999911e+00 2.972915983309145815e+01 3.400000000000000000e+01 nan
2.660000000000000142e+00 3.383335991252896946e+01 3.800000000000000000e+01 nan
2.669999999999999929e+00 3.800881259671942303e+01 3.800000000000000000e+01 nan
2.680000000000000160e+00 4.090422303655395098e+01 4.100000000000000000e+01 nan
2.689999999999999947e+00 4.176712712857787579e+01 4.200000000000000000e+01 nan
2.700000000000000178e+00 4.067822369417066852e+01 3.700000000000000000e+01 nan
2.709999999999999964e+00 3.820992068841044187e+01 3.200000000000000000e+01 nan
2.720000000000000195e+00 3.489391049346324536e+01 2.600000000000000000e+01 nan
2.729999999999999982e+00 3.101187881827475223e+01 2.600000000000000000e+01 nan
2.740000000000000213e+00 2.681921122033774196e+01 2.300000000000000000e+01 nan
